rowID,stamp,datetime,hum
122999,1497825324, 2017/6/18 22:35:24,62.4
123999,1497825325, 2017/6/18 22:35:25,62.4
124999,1497825326, 2017/6/18 22:35:26,62.6
125999,1497825327, 2017/6/18 22:35:27,62.6
126999,1497825328, 2017/6/18 22:35:28,62.6
127999,1497825329, 2017/6/18 22:35:29,62.6
128999,1497825330, 2017/6/18 22:35:30,62.7
129999,1497825331, 2017/6/18 22:35:31,62.7
130999,1497825332, 2017/6/18 22:35:32,62.6
131999,1497825333, 2017/6/18 22:35:33,62.6
132999,1497825334, 2017/6/18 22:35:34,62.6
133999,1497825335, 2017/6/18 22:35:35,62.7
134999,1497825336, 2017/6/18 22:35:36,62.7
135999,1497825337, 2017/6/18 22:35:37,62.8
136999,1497825338, 2017/6/18 22:35:38,62.8
137999,1497825339, 2017/6/18 22:35:39,62.8
138999,1497825340, 2017/6/18 22:35:40,62.8
139999,1497825341, 2017/6/18 22:35:41,62.8
140999,1497825342, 2017/6/18 22:35:42,62.8
141999,1497825343, 2017/6/18 22:35:43,62.8
142999,1497825344, 2017/6/18 22:35:44,62.8
143999,1497825345, 2017/6/18 22:35:45,62.8
144999,1497825346, 2017/6/18 22:35:46,62.8
145999,1497825347, 2017/6/18 22:35:47,62.8
146999,1497825348, 2017/6/18 22:35:48,62.9
147999,1497825349, 2017/6/18 22:35:49,62.9
148999,1497825350, 2017/6/18 22:35:50,62.9
149999,1497825351, 2017/6/18 22:35:51,62.9
150999,1497825352, 2017/6/18 22:35:52,62.9
151999,1497825353, 2017/6/18 22:35:53,62.9
152999,1497825354, 2017/6/18 22:35:54,62.9
153999,1497825355, 2017/6/18 22:35:55,62.9
154999,1497825356, 2017/6/18 22:35:56,62.9
155999,1497825357, 2017/6/18 22:35:57,62.9
156999,1497825358, 2017/6/18 22:35:58,62.9
157999,1497825359, 2017/6/18 22:35:59,63.0
158999,1497825360, 2017/6/18 22:36:0,63.0
159999,1497825361, 2017/6/18 22:36:1,63.1
160999,1497825362, 2017/6/18 22:36:2,63.1
161999,1497825363, 2017/6/18 22:36:3,63.1
162999,1497825364, 2017/6/18 22:36:4,63.1
163999,1497825365, 2017/6/18 22:36:5,63.1
164999,1497825366, 2017/6/18 22:36:6,63.2
165999,1497825367, 2017/6/18 22:36:7,63.2
166999,1497825368, 2017/6/18 22:36:8,63.2
167999,1497825369, 2017/6/18 22:36:9,63.2
168999,1497825370, 2017/6/18 22:36:10,63.2
169999,1497825371, 2017/6/18 22:36:11,63.2
170999,1497825372, 2017/6/18 22:36:12,63.2
171999,1497825373, 2017/6/18 22:36:13,63.2
172999,1497825374, 2017/6/18 22:36:14,63.2
173999,1497825375, 2017/6/18 22:36:15,63.2
174999,1497825376, 2017/6/18 22:36:16,63.2
175999,1497825377, 2017/6/18 22:36:17,63.2
176999,1497825378, 2017/6/18 22:36:18,63.2
177999,1497825379, 2017/6/18 22:36:19,63.2
178999,1497825380, 2017/6/18 22:36:20,63.2
179999,1497825381, 2017/6/18 22:36:21,63.2
180999,1497825382, 2017/6/18 22:36:22,63.2
181999,1497825383, 2017/6/18 22:36:23,63.2
182999,1497825384, 2017/6/18 22:36:24,63.2
183999,1497825385, 2017/6/18 22:36:25,63.2
184999,1497825386, 2017/6/18 22:36:26,63.2
185999,1497825387, 2017/6/18 22:36:27,63.2
186999,1497825388, 2017/6/18 22:36:28,63.2
187999,1497825389, 2017/6/18 22:36:29,63.3
188999,1497825390, 2017/6/18 22:36:30,63.3
189999,1497825391, 2017/6/18 22:36:31,63.3
